년도	제목	장르	가사
1995	이 밤의 끝을 잡고	R&B/Soul	다신 널 볼 수 없겠지 나의 입술이 너의 하얀 어깨를 감싸 안으며 그렇게 우린 이 밤의 끝을 잡고 사랑했지만 마지막 입맞춤이 아쉬움에 떨려도 빈 손으로 온 내게 세상이 준 선물은 너란 걸 알기에 참아야겠지 내 맘 아프지 않게 그 누구보다도 행복하게 살아야 해 모든 걸 잊고 이 밤의 끝을 잡고 있는 나의 사랑이 더 이상 초라하지 않게 나를 위해 울지 마 난 괜찮아 그래 어쩌면 난 오래 전부터 우리의 사랑도 어쩔 수 없는 이별이 찾아 올지도 모른다고 생각했어 하지만 울지 마 이 밤의 끝은 내가 잡고 있을 테니 넌 그렇게 언제나 웃으면서 살아야 돼 제발 울지 말고 나를 위해 웃어줘 제발 마지막 입맞춤이 아쉬움에 떨려도 빈 손으로 온 내게 세상이 준 선물은 너란 걸 알기에 참아야겠지 내 맘 아프지 않게 그 누구보다도 행복하게 살아야 해 모든 걸 잊고 이 밤의 끝을 잡고 있는 나의 사랑이 더 이상 초라하지 않게 나를 위해 울지 마 난 괜찮아 나의 가슴으로 너와 함께 나누었던 이 밤을 간직한 채 잠시 널 묻어야 하겠지 나의 눈물이 널 붙잡고 있지만 니가 힘들지 않게 웃으며 보내야 겠지 내 맘 아프지 않게 그 누구보다도 행복하게 모든 걸 잊고 이 밤의 끝을 잡고 있는 나의 사랑이 더 이상 초라하지 않게 나를 위해 울지마 난 괜찮아 우
1995	나만의 친구	R&B/Soul	늦어버린 아침에 난 거리에서 허전해진 나의 마음 달래려 했어 그래 난 내 주변사람 모두다 내 친군 아냐 머리 아픈일에 빠져 있을때도 가끔 내가 생각하는 사람이 있어 바로 너 여기까지 함께 했었던 우리 이름 바로 친구였어 지쳐가는 하루 우연히 난 어린시절 그립던 친구를 봤어 마주 앉아있던 지난얘기 속에 지루하지 않았던 기쁨 넌 알고있니 지금 난 널 보며 또 다른 기억속으로 추억보다 깊은 얘기 만들어가 이렇게 만난 우리만의 시간 늦어버린 아침에 난 거리에서 허전해진 나의 마음 달래려 했어 그래 난 내 주변사람 모두다 내 친군 아냐 머리 아픈일에 빠져 있을때도 가끔 내가 생각하는 사람이 있어 바로 너 여기까지 함께 했었던 우리 이름 바로 친구였어 음 지쳐가는 하루 우연히 난 어린시절 그립던 친구를 봤어 마주 앉아있던 지난얘기 속에 지루하지 않았던 기쁨 넌 알고있니 지금도 난 널 보며 또 다른 기억속으로 추억보다 깊은 얘기 만들어가 이렇게 만난 우리만의 시간 넌 알고있니 지금 난 널 보며 또 다른 기억속으로 추억보다 깊은 얘기 만들어가 이렇게 만난 우리만의 시간 또 약속해봐 그렇게 살다가 서로를 쳐다볼때면 언제까지라도 위로할수 있게 우리는 영원한 친구일거야
1995	잠든 널 포켓속에	R&B/Soul	날 따르지 않을거란 걸 알기에 오늘밤은 잠든 니가 너무도 좋아 이대로 두고 가면 사랑도 끝나겠지 니가 날 기억할 때까지 사랑한단 이유로 너를 몰래 데려갈 수 있다면 잠든 널 포켓속에 넣어갈거야 나의 맘을 아는지 비가 오지만 반갑지가 않아 잠든 니가 깰까봐 두렵기만 해 날 따르지 않을거란 걸 알기에 오늘밤은 잠든 니가 너무도 좋아 이대로 두고 가면 사랑도 끝나겠지 니가 날 기억할 때까지 사랑한단 이유로 너를 몰래 데려갈 수 있다면 잠든 널 포켓속에 넣어갈거야 너의 아침이 오면 난 포켓속에 추워 울고 있겠지 데려오지 못한걸 후회하면서 사랑한단 이유로 너를 몰래 데려갈 수 있다면 잠든 널 포켓속에 넣어갈거야 나의 맘을 아는지 비가 오지만 반갑지가 않아 잠든 니가 깰까봐 두렵기만 해 사랑한단 이유로 너를 몰래 데려갈 수 있다면 잠든 널 포켓속에 넣어갈거야 너의 아침이 오면 난 포켓속에 추워 울고 있겠지
1995	아끼지 못했던 사랑	R&B/Soul	Listen girl 다시 시작한다고 해도 처음으로 갈 순 없겠지 또 다른 후회속에 우린 서로에게 눈물될테니 기쁨이 전부였을때 아끼지 못했던 사랑은 슬픔이 전부가 되어 이별로 돌아오니까 그리움만 남겨진 사랑을 우린 나눠 가져야겠지 기억해줘 너는 나를 잊어도 나는 널 잊을 순 없을꺼야 가끔 난 날 위로 하곤 해 너의 빈자리 작아지게 이제야 조금 알 것 같아 아끼지 못했던 사랑을 기쁨이 전부였을때 아끼지 못했던 사랑은 슬픔이 전부가 되어 이별로 돌아오니까 그리움만 남겨진 사랑을 우린 나눠 가져야겠지 기억해줘 너는 나를 잊어도 나는 널 잊을 순 없을꺼야 너를 원망하는 일은 없을꺼야 이별의 원인은 내게서 비롯됐으니까 난 지금 꿈을 꾸고 있다고 생각할꺼야 언젠간 그 꿈에서 깨어나겠지만 기억해줘 기억해줘 너는 나를 잊어도 너는 나를 잊어도 나는 널 잊을 순 없을꺼야
1996	천생연분	R&B/Soul	너무 너무 예쁘다고 해도 너를 떠올리며 거절했지만 이번 한 번 뿐이라는걸 맹세해 약속을 정하고 그 날이왔어 신경써서 옷도 입고 머리도 하고 오랜만에 하는 소개팅에서 무슨 말을 할까 고민도 하고 널 만날때완 다른 느낌에 설레임을 안고 집을 나섰지 날씨도 좋고 기분도 좋고 아무튼 이래저래 좋았던거야 나를 믿고있는 너에게 정말 미안한 마음 뿐이야 이번 한 번만 용서해 십 분 정도 먼저 도착해서 어떤 여자일까 상상을했어 예뻤으면 키도 컸으면 좋겠어 혹시나 하고 주위를 살피고 흐르는 노래를 따라불렀어 드디어 내 친구의 모습보이고 난 수줍어 고개를 숙였여 국민학교 동창이란 친구얘기에 인사를 하려고 고개를 드니 내 앞에 있는건 다름아닌 너 황당한 나보다 더 당황하는 너 서로 믿고 있던 너와 나 그냥 맘껏 웃어 버렸어 서로 용서해 이번만 이래서 우리는 어쩔수가 없나봐 서로의 눈을 피해 만나보아도 결국엔 이렇게 우리 둘이서 또 만나게 되어있는 거잖아 이렇게 예쁜 너의 곁엔 이렇게 착한 내가 있었어 우리는 결코 헤어질 수 없어 영원히 사랑할 수 밖에 없어 그렇게 미안해 하지마 예쁜 추억을 만든것뿐야 너를 사랑해 영원히 난 너를 사랑해 난 너를 사랑해
1996	넌 나의 처음이자 마지막이야!	R&B/Soul	우리사랑 지금부터 시작인거야  아무 말도 하지마 어둠 만이 너와 나를 만질 수 있어 내 가슴에 기대봐 들리지 않니 너를 향한 나의 마음이 누구 하나 축복해 줄 사람 없는 시간 속에 더 이상은 가슴조일 필요는 없어 내 삶 속의 방황은 모두 끝났어 너를 만나기 전의 가슴앓이 뿐 우리 사랑 지금부터 시작인거야 그 누구도 간섭할 수 없는 얘기지 너를 위해 무엇이든 난 할 수 있어 넌 나의 모든 것 처음이자 마지막이야 눈을 뜨려 하지마 느낌으로 너와 나를 확인하면 돼 나의 품에 안겨봐 들리지 않니 사랑한단 나의 그 말이 어느 순간 떠올라서 저 하늘을 날 것 같아 이젠 정말 그 무엇도 두렵지 않아 내 삶 속의 방황은 모두 끝났어 너를 만나기 전의 가슴앓이뿐 우리 사랑 지금부터 시작인거야 그 누구도 간섭할 수 없는 얘기지 너를 위해 무엇이든 난 할 수 있어 넌 나의 모든 것 처음이자 마지막이야  아무 말도 하지마 어둠 만이 너와 나를 만질 수 있어 내 가슴에 기대봐 들리지 않니 너를 향한 나의 마음이 내 모든걸 주고 싶어 넌 나의 처음이자 마지막이야 너는 나의 그 모든 것 처음이자 마지막이야
1996	해피엔딩	R&B/Soul	처음 만났었지 느낌이 이상했어 너무 나도 오래된 기분이야 마음속에 묻어두었던 너를 이렇게 만나서 보게 될줄이야 갈색머리 단정하게 빗은 모습 머리에서 발끝까지 거부감이 없는 너 아주 아주 소중한 시간들을 함께 보냈어 더 이상은 좋은 기쁨이 없었지 우린 서로가 몰랐어 이런 날이 슬프게 다가와 버려 의미없는 나날을 보낼 줄 지난 여러 사진들을 쓸어 버렸지 힘들게 묻어버렸어 다시 살 만큼은 남길 걸 하루 하루 나 이렇게 살고 있어 그냥 이대로 얼핏 스쳤어 거리를 걷다가 돌아 보니 오래된 눈길이었어 묻혀 있던 나에 마음은 고개를 들어 시간속에 되감기네 커트 머리 웨이브진 다른 모습 야위어서 창백해진 무표정한 니 얼굴 서로 서로에 빈 페이지를 채워갔지 나도 몰래 입가에 우린 서로가 몰랐어 이런 날이 또 다시 다가 서서는 너와 나를 더욱 더 아낄줄 힘들었던 기억들은 잊혀져 갔지 새로운 소중함 속에 이젠 널 놔주지 않겠어 하루 하루 나 이렇게 살고 싶어 너를 사랑해  지난 여러 사진들을 쓸어 버렸지 힘들게 묻어버렸어 다시 살 만큼은 남길걸 하루 하루 나 이렇게 살고 있어 그냥 이대로 소중한 걸 배웠었지 조그마한 일이라도 생각 나누면서 아껴주자 가끔씩 힘들때는 서로 위로해주며 좋은 날만 안고 난 너를 사랑 난 너를 사랑해
1996	이 밤의 끝을 잡고	R&B/Soul	나의 입술이 너의 하얀 어깨를 감싸 안으며 그렇게 우린 이 밤의 끝을 잡고 사랑했지만 마지막 입맞춤이 아쉬움에 떨려도 빈손으로 온 내게 세상이 준 선물은 너란 걸 알기에 참아야겠지 내 맘 아프지 않게 그 누구보다 더 행복하게 살아야 해 모든 걸 잊고 이밤의 끝을 잡고 있는 나의 사랑이 더 이상 초라하지 않게 나를 위해 울지마 난 괜찮아  마지막 입맞춤이 아쉬움에 떨려도 빈손으로 온 내게 세상이 준 선물은 너란 걸 알기에 참아야겠지 내 맘 아프지 않게 그 누구보다 더 행복하게 살아야 해 모든 걸 잊고 이밤의 끝을 잡고 있는 나의 사랑이 더 이상 초라하지 않게 나를 위해 울지마 난 괜찮아 나의 가슴으로 너와 함께 나누었던 이 밤을 간직한 채 잠시 널 묻어야 하겠지 나의 눈물이 널 붙잡고 있지만 니가 힘들지 않게 웃으며 보내야 겠지 워 내 맘 아프지 않게 그 누구보다 더 행복하게 모든 걸 잊고 이밤의 끝을 잡고 있는 나의 사랑이 더 이상 초라하지 않게 나를 위해 울지마 난 괜찮아 나를 위해 울지마 난 괜찮아
1997	끼리 끼리	R&B/Soul	넌 혹시 알고 있니 난 너무 멋지단걸 미스터 코리아도 멋진 배우들도 내 지금 모습처럼 폼나진 않을거야 그런데 왜 니들은 날 끼워주지 않니 웃기지좀마 이 세상에 못난 사람이란 없는거야 니가 믿는 교과서와 참고서엔 잘났다고 떠들라고 나와 있니 니가 무시했던 친구들 좀 봐 괜히 주눅들어 살고 있잖아 내일 니 모습일수도 있어 사람 내일 모르는거야 왜 세상은 날 안키워주는거야 맨날 니들끼리 나 빼고 끼리 끼리 왜 세상은 나만 빼고 돌아가니 뭐든 잘하는 날 빼고서 끼리 끼리 넌 혹시 알고 있니 맘으로 통하는 친구가 필요하다는 걸 솔직한 니 모습을 보여줘 우리 모두 함께 끼리 끼리 끼리 넌 가끔 기억하니 뛰놀던 어린시절 그때의 예쁜 꿈들 다시 찾아보렴 세상은 복잡하게 얽히고 ?霞瘠〉? 오늘 하루만큼은 다함께 끼리 끼리 정신 좀 차려 이 세상은 돈만 갖고 살수는 없지 니가 믿는 비싸고 멋진 차가 돈 있으면 다된다고 알려주니 니가 꿈을 뺏은 친구들 좀 봐 세상에 주눅들어 살고 있잖아 제발 그렇게 살지마 사람 내일 모르는거야 왜 세상은 날 안 키워주는거야 맨날 니들끼리 나 빼고 끼리 끼리 왜 세상은 나만 빼고 돌아가니 뭐든 잘하는 날 빼고서 끼리 끼리 넌 혹시 알고 있니 맘으로 통하는 친구가 필요하다는 걸 솔직한 니 모습을 보여줘 우리 모두 함께 끼리 끼리 끼리 넌 가끔 기억하니 뛰놀던 어린시절 그때의 예쁜 꿈들 다시 찾아보렴 세상은 복잡하게 얽히고 ?霞瘠〉? 오늘 하루만큼은 다함께 끼리 끼리 오 shake it ashake it ain't no time to fake it shake it ashake it ain't no time to fake it shake it ashake it come on baby shake it shake it ashake it come on baby shake it 왜 세상은 날 안키워주는거야 맨날 니들끼리 나 빼고 끼리 끼리 왜 세상은 나만 빼고 돌아가니 뭐든 잘하는 날 빼고서 끼리 끼리 넌 혹시 알고 있니 맘으로 통하는 친구가 필요하다는 걸 솔직한 니 모습을 보여줘 우리 모두 함께 끼리 끼리 끼리 뛰놀던 어린시절 우리 끼리 끼리 그 때의 예쁜 꿈들 우리 끼리 끼리 세상은 복잡해도 우리 끼리 끼리 오늘 하루만큼은 우리 모두 끼리 끼리
1997	끝이 아니기를	R&B/Soul	끝이 아니기를  난 달랠 수가 없어 힘겹게 너를 찾는 마음을 제발 돌려달라고 울며 애원하지만 내가 할 수 있는 일이 아닌걸 난 무릎 꿇고 기도했는데 하늘은 나의 편이 아닌지 운명이 아니라며 돌아서고 싶지만 생각의 끝에선 또 돌아보게 돼 내 맘 속에 너를 간직할게 용서해줘 못 잊겠는데 언젠간 더 아플 가슴마저 없겠지 먼 훗날 나도 웃을게 그것이 우릴 지키는 길인걸 오늘도 기도할게 늘 끝이 아니길 아직은 아니야 내 맘 속에서 널 보내야 하는 그 시간이 아직은 미안해 지금도 난 니가 전부인걸 너무 보고 싶다고 울며 애원하지만 내가 할 수 있는 일이 아닌걸 난 두 손 모아 기도했는데 하늘도 나를 외면하는지 너를 잃고 보낼 시간들이 너무 두려워 모든 기억에 아파하겠지 내 맘 속에 너를 간직할게 용서해줘 못 잊겠는데 언젠간 더 아플 가슴마저 없겠지 먼 훗날 나도 웃을게 그것이 우릴 지키는 길인걸 오늘도 기도할게 늘 끝이 아니길 한 번만 더 너를 만나지기를 제발 하늘이 나를 돕기를 기다려 보는 것만이 내가 할 수 있는 전부인걸 끝이 아니길 내 맘 속에 너를 간직할게 용서해줘 못 잊겠는데 언젠간 더 아플 가슴마저 없겠지 먼 훗날 나도 웃을게 그것이 우릴 지키는 길인걸 오늘도 기도할게 늘 끝이 아니길 늘 끝이 아니길
