년도	제목	장르	가사
2003	동무생각	록/메탈	옛날에 어릴적 좋아했던  남자애가 있었어  하얀 얼굴에 항상  깨끗한 옷만 입고 다녔어  가끔 심심하면 불러서  쥐어 박기도 했어  울먹이며 도망가던  귀여웠던 그 꼬마가  에구머니  라랄라라랄라 랄라  이 남자가 그 꼬마래  라랄라라랄라 랄라  엄청 멋있게 변했군  나보다 한뼘이나  작았던 꼬맹이만 생각했어  뜬금없이 떠오르는  네 생각에 미소 짓곤 했었어  아주 많이 컸구나  연락처를 건내네  혹시 어릴때  복수를 하려는 것 아닐까  에구머니  나 왜 이러니 왜 떨리니  얼굴은 왜 빨개지니  쳐다보지마 니 눈빛에  나 녹아버릴 것 같아 아  못 이기는 척 한번 만나주었죠  감탄하면서 멋진 남자 되버린  네 모습에서 사랑을 느껴  이젠 니 여자이고 싶어  우워어 우워어 허 허 허  우워어 우워어 허 허 허  우워어 우워어 허 허 허  우우우우  랄라라랄라 랄라랄라  이 남자가 그 꼬마래  랄라라랄라 랄라랄라  엄청 멋있게 변했군  랄라라랄라 랄라랄라  얼굴은 왜 빨개지니  랄라라랄라 랄라랄라  나 녹아 버릴것 같아
2003	Bye Bye Love	록/메탈	오늘도 너는 내게 그녀의 얘기만 해 그렇게 난 네게 어제 처럼 멀어 져가 이젠 넌 날 만나도 그녀의 생각만해 오래된 내맘을 알지도 못한 너인데 내사랑 숨겨 온걸 나 먼저 고백 할것 같아 늘함께 했던 날들 니맘도 같은줄 알았는데 Bye Bye Love 이제는 Bye Bye Love 둘이된 너의 모습 곁에서 지켜볼 자신이 없어 Bye Bye Love 이대로 Bye Bye Love 나의 곁에 머물러준 나와는 다른 널 위해 이젠 Bye Bye 늦은 밤 헤어져도 데려다 주지 않아 그녀의 집 앞에 지금쯤 다와있겠지 늦도록 전화해도 연결이 되지 않아 오늘도 그녀와 밤새워 얘기 하나봐 널 사랑했던 만큼 그런 나 축복해야겠지 하지만 그때까지 조금은 어색할 날 이해해 Bye Bye Love 이제는 Bye Bye Love 둘이 된 너의 모습 곁에서 지켜볼 자신이 없어 Bye Bye Love 이대로 Bye Bye Love 나의 곁에 머물러도 나와는 다른 널 위해 이젠 bye bye bye bye love 이렇게 bye bye love 네게서 한걸음씩 멀어질 내모습 준비해야지 bye bye love 영원히 bye bye love 사랑해서 추억으로 조금덜 아픈 자리에 너를 둘게
2003	휴	록/메탈	해라 마라 하지마 이제 나도 지쳐가 운도 없이 내맘 같지 않은 일뿐야 정신없이 이끌려 자꾸 숨이 막혀와 돌아가라 하지마 잠시 벗어날꺼야 눈 딱감고 모자하나 눌러 쓴채로 어디라도 갈꺼야 혼자 쉴시간이 필요했어 차에 올라타 콧노래라도 불러 볼까 나를 기다릴 바다까지 전해지게 바람따라 멀리로 달려 이 길따라 세상이 열려 내몸이 시키는 대로 가보는 거야 잠들었던 자유를 깨워 저 새들의 기운을 빌려 마음은 날고 있는걸 눈부신 하늘 다 내가 주인인 것처럼 반기잖아 멀리 떠나와 보니 햇살마져 새로워 이런 기분 왜 모른채 살았던걸까 오랜 짐을 버려야 다시 일어설 수 있는 건데 그래 잘왔어 다 털어내고 가는 거야 낯선 이 곳이 마치 오랜 친구처럼 바람따라 멀리로 달려 이 길따라 세상이 열려 내몸이 시키는 대로 가보는 거야 잠들었던 자유를 깨워 저 새들의 기운을 빌려 마음은 날고 있는걸 눈부신 하늘 다 내가 주인인 것처럼 반기잖아 준비도 없이 떠난 오늘 하루가 날 달라지게 만들었어 지난 일은 다 잊어버려 지금부터 다 던져버려 저 높은 하늘에 날려 다 부서지게 지나버린 한숨을 묻고 혼자만에 추억을 안고 웃으며 뒤돌아서서 자신이 생겨 또 다시 태어난 것처럼 살 수있게 스타타타라 라타타 스타타타라 라타타 스타타타라 라타타 스타라라 타라라 스타타타라 라타타 스타타타라 라타타 스타타타라 라타타 스타라라 타라라 스타타타라 라타타 스타타타라 라타타 스타타타라 라타타 스타라라 타라라
2003	동무생각	록/메탈	옛날에 어릴적 좋아했던  남자애가 있었어  하얀 얼굴에 항상  깨끗한 옷만 입고 다녔어  가끔 심심하면 불러서  쥐어 박기도 했어  울먹이며 도망가던  귀여웠던 그 꼬마가  에구머니  라랄라라랄라 랄라  이 남자가 그 꼬마래  라랄라라랄라 랄라  엄청 멋있게 변했군  나보다 한뼘이나  작았던 꼬맹이만 생각했어  뜬금없이 떠오르는  네 생각에 미소 짓곤 했었어  아주 많이 컸구나  연락처를 건내네  혹시 어릴때  복수를 하려는 것 아닐까  에구머니  나 왜 이러니 왜 떨리니  얼굴은 왜 빨개지니  쳐다보지마 니 눈빛에  나 녹아버릴 것 같아 아  못 이기는 척 한번 만나주었죠  감탄하면서 멋진 남자 되버린  네 모습에서 사랑을 느껴  이젠 니 여자이고 싶어  우워어 우워어 허 허 허  우워어 우워어 허 허 허  우워어 우워어 허 허 허  우우우우  랄라라랄라 랄라랄라  이 남자가 그 꼬마래  랄라라랄라 랄라랄라  엄청 멋있게 변했군  랄라라랄라 랄라랄라  얼굴은 왜 빨개지니  랄라라랄라 랄라랄라  나 녹아 버릴것 같아
2003	Bye Bye Love	록/메탈	오늘도 너는 내게 그녀의 얘기만 해 그렇게 난 네게 어제 처럼 멀어 져가 이젠 넌 날 만나도 그녀의 생각만해 오래된 내맘을 알지도 못한 너인데 내사랑 숨겨 온걸 나 먼저 고백 할것 같아 늘함께 했던 날들 니맘도 같은줄 알았는데 Bye Bye Love 이제는 Bye Bye Love 둘이된 너의 모습 곁에서 지켜볼 자신이 없어 Bye Bye Love 이대로 Bye Bye Love 나의 곁에 머물러준 나와는 다른 널 위해 이젠 Bye Bye 늦은 밤 헤어져도 데려다 주지 않아 그녀의 집 앞에 지금쯤 다와있겠지 늦도록 전화해도 연결이 되지 않아 오늘도 그녀와 밤새워 얘기 하나봐 널 사랑했던 만큼 그런 나 축복해야겠지 하지만 그때까지 조금은 어색할 날 이해해 Bye Bye Love 이제는 Bye Bye Love 둘이 된 너의 모습 곁에서 지켜볼 자신이 없어 Bye Bye Love 이대로 Bye Bye Love 나의 곁에 머물러도 나와는 다른 널 위해 이젠 bye bye bye bye love 이렇게 bye bye love 네게서 한걸음씩 멀어질 내모습 준비해야지 bye bye love 영원히 bye bye love 사랑해서 추억으로 조금덜 아픈 자리에 너를 둘게
2003	휴	록/메탈	해라 마라 하지마 이제 나도 지쳐가 운도 없이 내맘 같지 않은 일뿐야 정신없이 이끌려 자꾸 숨이 막혀와 돌아가라 하지마 잠시 벗어날꺼야 눈 딱감고 모자하나 눌러 쓴채로 어디라도 갈꺼야 혼자 쉴시간이 필요했어 차에 올라타 콧노래라도 불러 볼까 나를 기다릴 바다까지 전해지게 바람따라 멀리로 달려 이 길따라 세상이 열려 내몸이 시키는 대로 가보는 거야 잠들었던 자유를 깨워 저 새들의 기운을 빌려 마음은 날고 있는걸 눈부신 하늘 다 내가 주인인 것처럼 반기잖아 멀리 떠나와 보니 햇살마져 새로워 이런 기분 왜 모른채 살았던걸까 오랜 짐을 버려야 다시 일어설 수 있는 건데 그래 잘왔어 다 털어내고 가는 거야 낯선 이 곳이 마치 오랜 친구처럼 바람따라 멀리로 달려 이 길따라 세상이 열려 내몸이 시키는 대로 가보는 거야 잠들었던 자유를 깨워 저 새들의 기운을 빌려 마음은 날고 있는걸 눈부신 하늘 다 내가 주인인 것처럼 반기잖아 준비도 없이 떠난 오늘 하루가 날 달라지게 만들었어 지난 일은 다 잊어버려 지금부터 다 던져버려 저 높은 하늘에 날려 다 부서지게 지나버린 한숨을 묻고 혼자만에 추억을 안고 웃으며 뒤돌아서서 자신이 생겨 또 다시 태어난 것처럼 살 수있게 스타타타라 라타타 스타타타라 라타타 스타타타라 라타타 스타라라 타라라 스타타타라 라타타 스타타타라 라타타 스타타타라 라타타 스타라라 타라라 스타타타라 라타타 스타타타라 라타타 스타타타라 라타타 스타라라 타라라
2003	Monologue	록/메탈	다 잊었다는 거짓말 또 해 버렸죠 내 마음에 그대란 사람  없다고 했죠  너무나 쉽게 잊혀졌다고  이젠 남이라고  서툰 내 사랑에 지쳐 떠난 그대  너무 많이 울려서  잡을 용기조차 낼 수 없었죠  미안해요 내 사랑아  다신 나 같은 사람 만나지 마요  혹시 찾아가도 두번 다시  나를 허락해 주지마요  그댄 여리고 너무 착해서  싫단 말도 잘 못하는데  많이 부족한 나를 사랑한 그대  이거면 됐어요 더 이상은  그대 불행하지 않도록  나 이쯤에서 없어지는게  그댈 위한 나의 사랑인걸요  너무 투명해서 때론 불안했죠  제멋대로 살아온 나를  감당할 수 없을것 같죠  미안해요 내 사랑아  다신 나같은 사람 만나지 마요  혹시 찾아가도 두 번 다시  나를 허락 해주지 마요  그댄 여리고 너무 착해서  싫단 말도 잘 못하는데  고마웠어요 나를 사랑해줘서  나같은 사람이 두 번 다시  감히 받을 수 없는 사랑  그대 때문에 행복했어요  울지마요 그대  잘 생각해봐요  나쁜일들만 가득했던 우리  다 잊어야 해요  많이 부족한 나를 사랑한 그대  이거면 됐어요  더 이상은 그대 불행하지 않도록  나 이쯤에서 없어지는게  그댈 위한 나의 사랑인걸요
2003	어쩌면...	록/메탈	어쩌면 오늘이 마지막이  될지도 몰라  나의 사랑이 떠날지 몰라  불안한 나의 마음 니가  알아챌 것만 같아서  너와 눈도 마주치지 못했어  너의 그 사람 다시 돌아왔을 때  많이 힘들어하던 너 깊은 고민에 빠진 너  제발 아니길 don't say  good bye  Say Good bye  떠나지마 사랑하잖아  내가 있잖아  너를 버렸던 그 사람에게 가지마  지난 눈물 기억해줘 돌아간다면 떠나간다면  니가 겪었던 똑같은 이유로  내 삶이 무너질텐데  너 원한다면 보내야 하겠지  끝내 잡을 수 없겠지  아픈 나날들을 준비해야 하겠지  시간이 지나면 모두  잊혀질거란 얘기 너를 미워해 달라는 얘기  그렇게 하지 못할 나의 마음을  알고 있잖아  너무 그 사람만 생각하지마  왜 하필이면 다시 그 사람이니  한 번 버렸던 사랑은 두 번  버리기 쉬운데  다시 생각해 don't say  good bye  say good bye  떠나지마 사랑하잖아 내가 있잖아  너를 버렸던 그 사람에게  가지마 지난 눈물 기억해줘 끝이 아니야 잠시뿐이야  나의 사랑을 확인할 시간이 너에게 필요할뿐야  I believe 우리의 사랑  you're my everything  never give you up  내가 너무 사랑해 너만을  내가 사랑해  여기 있을께 널 위해 never say good bye  떠나지마 사랑하잖아 내가 있잖아  너를 버렸던 그 사람에게 가지마  지난 눈물 기억해줘 돌아간다면 떠나간다면  니가 겪었던 똑같은 이유로  내 삶이 무너질텐데 워 끝이 아니야 잠시뿐이야  나의 사랑엔 이별은 없는걸  You are mine never say   good bye
2003	1st	록/메탈	시간이 흘러가도 변하지 않아  너는 내 맘에서 떠나지 않아  맘대로 만나지 못해  잊지도 못해 어떻해  왜 나를 버려두고 간거야  내 모든것을 가져간 사랑  이제 모든것을 뺏아갔어  지금 넌 괜찮은 거니  잘 사는거니  나 없이 행복한 거니  난 모르겠어  뭐가 그렇게 서운했는지 잘 모르겠어  내가 아는건 이별과 상관없이도  더 깊이 사랑해  You light up my life  사랑하잖아 아파하잖아  너도 날 걱정하잖아  조금만 솔직해져봐 내 사랑은 forever  날 잊지못해 후회한다면 찾고 싶다면  더 이상 울기 싫다면  서둘러 내게 돌아와  I need you love forever  적당히 딴 사람과 사랑을 하고  너를 보란 듯 지워내고  말로는 간단한 일이 쉽지가 않아  내 맘이 내것이 아냐  내게 말해봐 뭘 원하는지  왜 그랬는지 다 말을 해봐  아니면 내가 널 포기할 수 있도록  더 모질게 해봐  You light up my life  사랑하잖아 아파하잖아 너도 날 걱정하잖아  조금만 솔직해져봐 내 사랑은 forever  날 잊지못해 후회한다면 찾고 싶다면  더 이상 울기 싫다면  서둘러 내게 돌아와  I need you love forever  아무리 외면해도 그대로인데  왜 널 잊으라고 하는거니  내 맘을 움직일 사람  날 가질 사람 한 사람 바로 너잖아  You light up my life  너를 사랑해 매일 기도해  제발 널 돌려달라고  잊은 척 연극하면서 살기싫어 forever  날 기억해줘 처음 그때로  좋았던 때로 이별이 아닌 그때로  넌 다시 돌아와야해  I need you love forever -
2003	B 612	록/메탈	어두운 밤하늘을 날아 오르면 볼 수 있잖아  유난히 눈부신 작은별  그곳은 우리만의 천국인거야  두려울건 없는거야 나의 손을 잡아봐  온종일 네 어깨를 무겁게 누르던  반복되는 수많은 일대신  새하얀 날개를 달아줄테니 이제부터  bye bye my day  무지개 건너의 성문이 열리면  푸른 잔디에 누워 잠시라도 잠을 청해도 좋아  따사로운 햇살 포근히 네 몸을 감싸줄테니까  그렇게 아름다운 꿈을 꾸면 돼  천천히 눈을 감고 날아 올라가  둘려울건 없는거야 나의 손을 잡아봐 정해진 길을 따라 떠밀려온 하루  반복되는 수많은 일대신  새하얀 날개를 달아줄테니 이제부터  bye bye my day  무지개 건너의 성문이 열리면  푸른 잔디에 누워 잠시라도 잠을 청해도 좋아  따사로운 햇살 포근히 네 몸을 감싸줄테니까  그렇게 아름다운 꿈을 꾸면 돼  - 간 주 중 - 얼마나 떠나왔나  동화를 유치한 얘기라고 느낄 때  나이만큼 꿈의 나란 멀어지지만 이제부터  bye bye my day  우리 힘들었던 오늘을 잊고서  장미가 사랑했던 어린 왕자 그별을 찾아가봐  믿으려고 하면 원하는건 모두 다 이룰 수 있어  다시 그 아름다운 꿈을 꾸면 돼
2003	The ...	록/메탈	떠 올려봐 기억해봐  나와 사랑했던 기억들  니 마음을 내게 돌릴  행복한 기억 모두 지운거니  사랑했었단 말은 하지마  좋아했었단 말은 하지마  니가 날 떠나도 너를 볼 수 없어도  널 향한 내게 끝은 없으니  내 맘을 가져가 니가 힘들때  다른 사랑에 마음 다칠때  세상에 한 사람 변함없이 널 사랑하는  나를 기억해 그때 다시 돌아와줘  난 믿지않아 니가 변한걸  넌 잠시 내게서 멀리 있다 믿을께  널 향한 네게 끝은 없으니  내 맘을 가져가 니가 힘들때  다른 사랑에 마음 다칠때  세상에 한 사람 변함없이 널 사랑하는  나를 기억해 그때 다시 돌아와줘  이별이 끝은 아닐꺼야 너의 소중함을  다시 깨닫게 될 너의 마음에  내 맘을 가져가 니가 힘들때  많은 시간이 흐른뒤에도  세상에 한 사람 변함없이 널 사랑하는  내게로 와줘 그때에 더 사랑할께 -
2003	사랑 뒤의 사랑	록/메탈	내게로와 나를 믿는거야 다른 생각하지마  난 너를 위해 태어났다 믿어 말해주고 싶지만  기다릴께 너를 버린 그를 다 지워낼 때까지  나 알고있어 사랑을 믿는게 넌 아직 두렵겠지      내 곁에 있는 이 순간에도 넌 그를 기다릴지 몰라  하지만 너를 위해 나가진 하나까지  던질수 있는건 그가 아닌 나인데      Don't you know I'm waiting for you alone  괜찮아 이렇게 넌 내곁에 있잖아  오늘도 니맘을 모두 그가 가졌다해도      In my heart I want you to love me  괜찮아 지금 내 슬픔쯤은 이길께  니 다음 사랑이 마지막 나일수 있다면  I can't live with out you      그를버려 모두 지워버려 다 널 위한 일이야  난 오늘도 널 향해 이런 내맘 또 꺼내지 못했지      한 사람만을 향한 니맘을 난 누구보다 잘 알기에  말하지 못한거야 나가진 하나까지  던질수 있는건 그가 아닌 나인데      Don't you know I'm waiting for you alone  괜찮아 이렇게 넌 내곁에 있잖아  오늘도 니맘을 모두 그가 가졌다해도      In my heart I want you to love me  괜찮아 지금 내 슬픔쯤은 이길께  니 다음 사랑이 마지막 나일수 있다면      기다려 달라고 말해줘 오랜 시간이 지나도 괜찮아  난 다를거라 믿어 널 지킬거라 믿어  니 어떤 모습도 사랑할게 워~~워~~      In my heart I want you to love me  괜찮아 지금 내 슬픔쯤은 이길께  니 다음 사랑이 마지막 나일수 있다면  I can't live with out you
2003	약속	록/메탈	다시 너를 마주친 날 잠들수가 없던 나는  어린시절 너와 나의 꿈을 꾸었지  하얀 네가 웃을때면 자꾸 가슴 떨려와서  바라볼 수가 없었던 어린 내 모습  우리 헤어진 날 얼마나 내가 울었는지  넌 아니 안녕이란 말도 할 수 없었지  제발 한번만 더 너만을  다시 만나게 해달라고  매일 기도했어 오랜시간  너 하나만을 계속 그리워하며  이젠 너에게로 달려 갈거야  너의 손을 잡고 너의 눈을 보면서  아주 오랫동안 감춰둔  너를 향한 나의 맘을  오직 너에게만 보여줄꺼야  마주 잡은 손이 떨려와  네가 화를 낼까 겁이나  이런 내 맘 너는 알고 있는지  작은 손가락을 걸면서  너와 함께했던 약속을 너도 기억하니  오직 나만 기다리기로 우리 맹세했잖아  이젠 그 약속을 지켜줄꺼야  너를 안아줄수 있도록 나 컸잖아  처음 그리고 또 마지막  내 마음 모두 가져간  오직 너에게만 말해줄꺼야   다시 만날 인연이   운명이 아니란걸 알아  이젠 너에게로 달려 갈거야  너의 손을 잡고 너의 눈을 보면서  아주 오랫동안 감춰둔  너를 향한 나의 맘을  오직 너에게만 보여줄꺼야
2003	어느 소녀의 희망	록/메탈	하늘을 덮어버린 회색빛 구름처럼  사라진 우리들의 소중한 추억  먼 기억 저편으로 저만치 희미해진  전설 속 아름다운 세상있었지  우리들의 욕심이 망쳐버렸던 세상  그 댓가로 많은걸 잃고 살았다는 거야  그래도 난 숨은 그림처럼  어딘가 있을 그 섬을 그려보곤 해 아-  저 멀리 하늘을 날아가던 섬이 있어  행복한 웃음들이 번져가고  투명한 태양빛이 부서지던 곳  소녀가 가졌던 빛이 사라지기 전에  하늘을 나는 섬을 잃기전에  영원히 간직할거야  모두다 가지려고 욕심을 부리지만  그럴수록 그곳은 멀어지고 만다는걸  걱정하듯 소녀의 두 눈은 말하곤 했어  절대로 잊지 말라며 아-  저 멀리 하늘을 날아가던 섬이 있어  행복한 웃음들이 번져가고  투명한 태양빛이 부서지던 곳  소녀가 가졌던 빛이 사라지기 전에  하늘을 나는 섬을 잃기전에  영원히 간직할거야  나- 이제는 전설처럼 아득한 그 곳  나- 그 빛을 다시 보여줘 -
2003	잘 살아요	록/메탈	그대가 보이네요  너무 그리워 그대를 찾아 왔죠  예전처럼 예전처럼  눈부신 모습 변함 없네요  날 보며 놀랄까봐  가까운 골목 귀퉁이에 숨어서  나의사랑 나의사랑  잘 지냈었냐고 혼잣말을 해  사랑해요 아직도 그래요  부족했던 지난날 미안했어요  다시 또 그대를 가질수는 없겠죠  언제나 잘 살아주세요  참 많이 울게했죠  차라리 사랑하게나 하지 말걸  내 욕심에 내 욕심에  그대의 가슴만 아프게 했죠  날 잊어요 원망해야 해요  그댈 버렸던 사람 원망인 사람  추억의 끈마저 모두 놓아 버려요  그대는 아프지 말아요  하늘에 빌죠 다신 이렇게  그댈 찾는 일 없게 해달라고  사랑해요 아직도 그래요  부족했던 지난 날 미안했어요  다시 또 그대를 가질수는 없겠죠  언제나 잘 살아 주세요  내 사랑 잘 살아요 -
