년도	제목	장르	가사
2011	안아줘요	인디음악	비 오는 날 어느 그날 밤 같은 우산 아래 약속한 주기로 했던 거 잊었나요 힘이 들고 어지러운 날 내가 비틀비틀 거리면 주기로 했던 거 잊었나요 줘요 주세요 지금 달라니까요 줘요 주세요 그냥 달라니까요 안아줘요 안아줘요 안아줘요 안아달라니까요 안아줘요 안아줘요 안아줘요 안아달라니까요 출근부터 퇴근 때까지 나를 미워하는 상사의 싫은 소릴 줄창 들었어요 울음보가 터지기 전에 커피 한잔 하고 싶은데 불러낼 사람 하나 없어요 줘요 주세요 지금 달라니까요 줘요 주세요 그냥 달라니까요 안아줘요 안아줘요 안아줘요 안아달라니까요 안아줘요 안아줘요 안아줘요 안아달라니까요 허리가 끊어지도록 쇄골이 부서지도록 뒷목이 뻐근하도록 온몸이 빨개지도록 안아 안아 안아 달라니까요 안아 안아 안아 달라니까요 안아 안아 안아 달라니까요 안아 안아
2012	오늘밤에	인디음악	고요한 밤 우울한 이 밤에 만나줄 여인 하나 없이 비틀대는 눈부신 거리엔 다 Everybody love tonight 나만 쏙 뺀 사랑 쏙 빠진 로맨스는 잔인해 oh no 나의 짝을 찾아 간절한 구애의 춤을 추네 oh 비가 쏟아지는데 우 달이 차오르는데 우 눈물이 흐르는데 우 오늘밤에 땀이 쏟아지는데 우 숨이 차오르는데 우 눈물이 흐르는데 우 오늘밤에 우우우 외로운 밤 쓸쓸한 이 밤에 놀아줄 여인 하나 없이 삐걱대는 만실 여관방엔 다 Everybody fuck tonight 나만 쏙 뺀 사랑 쏙 빠진 로맨스는 잔인해 oh no 나의 짝을 찾아 간절한 구애의 춤을 추네 oh 비가 쏟아지는데 우 달이 차오르는데 우 눈물이 흐르는데 우 오늘밤에 땀이 쏟아지는데 우 숨이 차오르는데 우 눈물이 흐르는데 우 오늘밤에 아아아아 아아아아 아아아아 우우우 우우우  아아아아 아아아아 아아아아 우우우 우우우  비가 쏟아지는데 우 달이 차오르는데 우 눈물이 흐르는데 우 오늘밤에 땀이 쏟아지는데 우 숨이 차오르는데 우 눈물이 흐르는데 우 오늘밤에 아아아아 아아아아 아아아아 우우우 우우우  아아아아 아아아아 아아아아 우우우 우우우  아아아아 아아아아 아아아아 우우우 우우우  아아아아 아아아아 아아아아 우우우 우우우 
2016	봄이 좋냐??	인디음악	꽃이 언제 피는지 그딴 게 뭐가 중요한데 날씨가 언제 풀리는지 그딴 거 알면 뭐 할 건데 추울 땐 춥다고 붙어있고 더우면 덥다고 니네 진짜 이상해 너의 달콤한 남친은 사실 피씨방을 더 가고 싶어하지 겁나 피곤하대 봄이 그렇게도 좋냐 멍청이들아 벚꽃이 그렇게도 예쁘디 바보들아 결국 꽃잎은 떨어지지 니네도 떨어져라 몽땅 망해라 망해라 아무 문제 없는데 왜 나는 안 생기는 건데 날씨도 완전 풀렸는데 감기는 왜 또 걸리는데 추울 땐 추워서 안생기고 더우면 더워서 인생은 불공평해 너의 완벽한 연애는 아직 웃고 있지만 너도 차일거야 겁나 지독하게 봄이 그렇게도 좋냐 멍청이들아 벚꽃이 그렇게도 예쁘디 바보들아 결국 꽃잎은 떨어지지 니네도 떨어져라 몽땅 손 잡지 마 팔짱 끼지 마 끌어 안지 마 제발 아무것도 하지 좀 마 설레지 마 심쿵하지 마 행복하지 마 내 눈에 띄지 마 봄이 그렇게도 좋냐 멍청이들아 벚꽃이 그렇게도 예쁘디 바보들아 결국 꽃잎은 떨어지지 니네도 떨어져라 몽땅 망해라 망해라 망해라 망해라
2016	심술	인디음악	노란 머리 볼에 빨간 홍조 빼빼 묶은 머리 but a girl with bobbed hair 나 신발 꺾어 신고 돌아다녀 Cuz I'm lonely 내가 좋아하는 건 제일 잘하는 건 물어뜯기 꼬집기 깨물기 and 몰래 따라 걷기 with red sunglass Hey Miss short skirt lady 손때 묻은 손수건은 좀 떼줄래 Hey 뭐야 긴 생머리 언니 헐 아이 컨택은 그만 부리고 그 손 떼 헝클어진 머리칼을 흩날리며 네게 건네 조금은 녹아 흘러내린 아이스크림 좀 따가운 시선 받으면 어때 네게 주려고 진득해진 손바닥으로 달려온 나야 너 진짜 귀여워 진짜 잘생겼어 그러니까 여자들이 자꾸 들러붙어 이거 뭐예요 저거 뭐예요 Or you have a girl friend Hey Miss short skirt lady 손때 묻은 손수건은 좀 떼줄래 Hey 뭐야 긴 생머리 언니 헐 아이 컨택은 그만 부리고 그 손 떼 U know what I’m saying 헝클어진 머리칼을 흩날리며 네게 건네 조금은 녹아 흘러내린 아이스크림 좀 따가운 시선 받으면 어때 네게 줄려고 진득해진 손바닥으로 달려 온 나야 Woo Yeah 진짜 얄미운 너 yeah 나는 싫어 네가 볼 꼬집는 거 빨갛게 익은 내 맘 놀리는 것도 싫어 이렇게 심술 부리는 거야
2016	여름밤에 우린	인디음악	You will always be my girl I promise you I will be on your side 움직이지 말아줘 눈에 담고 있으니까 작은 표정 하나하나 맘에 담고 싶으니까 꿈을 꾸는듯한 눈부신 오늘 밤 별빛이 가득한 너의 눈을 본 순간 난 알아버렸지 지금 우리 사이 세상에서 가장 특별해 baby 별이 가득한 여름밤에 우린 눈부시게 아름다운 그림 모든 게 다 바래고 지워져도 간직하고 있을게 내 눈을 보면서 너는 어떤 생각해 나는 너를 보면서 또 너를 생각해 넌 알 수 있겠니 지금 우리 사이 세상에서 가장 특별해 baby 별이 가득한 여름밤에 우린 눈부시게 아름다운 그림 모든 게 다 바래고 지워져도 간직하고 있을게 baby 누가 뭐래도 영원토록 우린 이 세상에 하나뿐인 그림 모든 게 다 바래고 지워져도 간직하고 있을게 간직하고 있을게
2016	뜨거운 여름밤은 가고 남은 건 볼품없지만	인디음악	그땐 난 어떤 마음이었길래 내 모든걸 주고도 웃을 수 있었나 그대는 또 어떤 마음이었길래 그 모든걸 갖고도 돌아서 버렸나 뜨거운 여름밤은 가고 남은 건 볼 품 없지만 또다시 찾아오는 누군갈 위해서 남겨두겠소 다짐은 세워올린 모래성은 심술이 또 터지면 무너지겠지만 뜨거운 여름밤은 가고 남은 건 볼 품 없지만 또다시 찾아오는 누군갈 위해서 남겨두겠소 그리운 그 마음 그대로 영원히 담아둘거야 언젠가 불어오는 바람에 남몰래 날려보겠소 눈이 부시던 그 순간들도 가슴아픈 그대의 거짓말도 새하얗게 바래지고 비틀거리던 내 발걸음도 그늘아래 드리운 내 눈빛도 아름답게 피어나길 눈이 부시던 그 순간들도 가슴아픈 그대의 거짓말도 새하얗게 바래지고 비틀거리던 내 발걸음도 그늘아래 드리운 내 눈빛도 아름답게 피어나길 눈이 부시던 그 순간들도 가슴아픈 그대의 거짓말도 새하얗게 바래지고 비틀거리던 내 발걸음도 그늘아래 드리운 내 눈빛도 아름답게 피어나길
2016	우주를 줄게	인디음악	커피를 너무 많이 마셨나 봐요 심장이 막 두근대고 잠은 잘 수가 없어요 한참 뒤에 별빛이 내리면 난 다시 잠들 순 없겠죠 지나간 새벽을 다 새면 다시 네 곁에 잠들겠죠 너의 품에 잠든 난 마치 천사가 된 것만 같아요 난 그대 품에 별빛을 쏟아 내리고 은하수를 만들어 어디든 날아가게 할거야 Cause I’m a pilot anywhere Cause I’m a pilot anywhere lighting star shooting star 줄게 내 Galaxy Cause I’m a pilot anywhere Cause I’m your pilot 네 곁에 저 별을 따 네게만 줄게 my Galaxy Like a star 내리는 비처럼 반짝이는 널 가지고 싶어 Get ma mind 엄지와 검지만 해도 내 마음을 너무 잘 표현해 붙어 안달 나니까 마냥 떨리기만 한 게 아냐 준비가 되면 쏘아 올린 인공위성처럼 네 주윌 마구 맴돌려 해 더 가까워진다면 네가 가져줄래 이 떨림을 어제는 내가 기분이 참 좋아서 지나간 행성에다가 그대 이름 새겨 놓았죠 한참 뒤에 별빛이 내리면 그 별이 가장 밝게 빛나요 지나간 새벽을 다 새면 다시 네 곁에 잠들겠죠 별빛 아래 잠든 난 마치 온 우주를 가진 것만 같아 난 그대 품에 별빛을 쏟아 내리고 은하수를 만들어 어디든 날아가게 할거야 Cause I’m a pilot anywhere Cause I’m a pilot anywhere Lighting star Shooting star 줄게 내 Galaxy Cause I’m a pilot anywhere Cause I’m your pilot 네 곁에 저 별을 따 네게만 줄게 my Galaxy Cause I’m a pilot anywhere Cause I’m a pilot anywhere Lighting star Shooting star 줄게 내 Galaxy Cause I’m a pilot I’m your pilot Lighting star Shooting star 줄게 my Galaxy la la la la la la la la la la la la
2016	나만 안되는 연애	인디음악	왠지 오늘따라 마음이 아픈지 했더니 오늘은 그대가 날 떠나가는 날이래요 왜 항상 나는 이렇게 외로운 사랑을 하는지 도무지 이해가 안가는 이상한 날이에요 왜 그랬는지 묻고 싶죠 날 사랑하긴 했는지 그랬다면 왜 날 안아줬는지 그렇게 예뻐했는지 나만 이런 세상을 살고 있는 것 같아요 바라보기만 하다 포기할 수는 없겠죠 근데도 이렇게 아픈 마음만 가지고 사는 건 도무지 불공평해서 견딜 수가 없어요 Please come back to me 왠지 오늘만은 그렇게 보내기 싫은지 오늘은 그대와 나 마지막인가 봐요 왜 항상 나는 이렇게 아무 말도 못하는지 도무지 이해가 안가는 이상한 날이에요 시작부터 사랑하지 않았다고 내게 말했었다면 그랬다면 나의 마음은 이렇게 굳게 닫혔을까요 나만 이런 세상을 살고 있는 것 같아요 바라보기만 하다 포기할 수는 없겠죠 근데도 이렇게 아픈 마음만 가지고 사는 건 도무지 불공평해서 견딜 수가 없어요 그대는 아무렇지 않겠죠 Please come back to me 내 눈물로 더 이상 붙잡을 수는 없겠죠 Please come back to me 근데도 이렇게 아픈 마음만 가지고 사는 건 도무지 불공평해서 견딜 수가 없어요 Please come back to me Please come back to me 나는 사실 이성적인 게 참 싫어요 그래서 우린 헤어져야만 했으니까 아무렇지 않게 살아가도 매일 밤이 고통스럽겠죠 그대가 정이 많은 사람이었다면 날 안아주진 않았을까요
2016	비행운	인디음악	매일매일이 잿빛이더라구 팽이돌듯이 빙빙 돌더라구 어른이 라는 따분한 벌레들이 야금야금 꿈을 좀 먹더라구 나는 자라 겨우 내가 되겠지 뿔이 자라난 어른이 될테니 억지로 라도 웃어야지 하는데 그럼에도 좀 울적하더라구 어제와 오늘의 온도가 너무 달라서 비행운이 만들어졌네 내가 머물기에 여기는 너무 높아서 한숨자국만 깊게 드러났네 나는 자라 겨우 내가 되겠지 뿔이 자라난 어른이 될 테니 억지로 라도 웃어야지 하는데 그럼에도 좀 울적 하더라구 어제와 오늘의 온도가 너무 달라서 비행운이 만들어졌네 내가 머물기에 여기는 너무 높아서 한숨자국만 깊게 드러났네 어제와 오늘의 온도가 너무 달라서 비행운이 만들어졌네 내가 머물기에 여기는 너무 높아서 한숨자국만 깊게 드러났네 꼬마가 간직했던 꿈은 무엇일까 오래된 일기장을 꺼내봤네 1996년 7월 20일에 우주 비행사라고 적어놨네
2016	좋다고 말해	인디음악	안녕 오늘도 같은 자리 버스 창가에 기대 앉은 네게 인사를 해 Hi 역시 넌 받아 주지를 않네 인기 많고 잘생긴 넌 내게만 그렇게 쌀쌀하게 굴더라 근데 Last Night 기억나 넌 내가 좋다고 했어 그 예쁜 가로등 아래서 넌 내가 좋다고 말했어 다음부턴 모른 척 아닌 척해도 You Have To Know That 확신을 해야 돼 넌 그날 넌 내가 좋다고 했어 Yeah If You Like Me Or Love Me Just Say Yes Yes Yes And Then I'm Your Girlfriend And You're My Boyfriend 어서 내게 좋다고 말해 줘 몰래 오늘도 도서관 맨 앞자리에 기대 앉은 네게 인사를 해 Oh Boy 역시 넌 받아 주지를 않네 인기 많고 잘생긴 넌 내게만 그렇게 쌀쌀하게 굴더라 근데 Last Night 기억나 넌 내가 좋다고 했어 그 예쁜 가로등 아래서 넌 내가 좋다고 말했어 다음부턴 모른 척 아닌 척해도 You Have To Know That 확신을 해야 돼 넌 그날 넌 내가 좋다고 했어 Yeah If You Like Me Or Love Me Just Say Yes Yes Yes And Then I'm Your Girlfriend And You're My Boyfriend 어서 내게 좋다고 말해 줘 Oh 널 참 많이 좋아하는 난데 우린 이어질 수 없는 걸까 내 긴 교복 치마가 부끄러워 초라해 Yeah 네 곁엔 항상 키 크고 예쁜 애들이 넘치는데 Woo If You Like Me If You Love Me Yeah And Then I'm Your Girlfriend And You're My Boyfriend 어서 내게 좋다고 말해 줘 If You Like Me Or Love Me Just Say Yes Yes Yes And Then I'm Your Girlfriend And You're My Boyfriend 어서 내게 좋다고 말해 줘
2017	TOMBOY	인디음악	난 엄마가 늘 베푼 사랑에 어색해 그래서 그런 건가 늘 어렵다니까 잃기 두려웠던 욕심 속에도 작은 예쁨이 있지 난 지금 행복해 그래서 불안해 폭풍 전 바다는 늘 고요하니까 불이 붙어 빨리 타면 안 되잖아 나는 사랑을 응원해 젊은 우리 나이테는 잘 보이지 않고 찬란한 빛에 눈이 멀어 꺼져가는데 아아아아아 아아아아아 아아아아아아아 아아아아아 아아아아아 아아아아아아아아아 슬픈 어른은 늘 뒷걸음만 치고 미운 스물을 넘긴 넌 지루해 보여 불이 붙어 빨리 타면 안 되니까 우리 사랑을 응원해 젊은 우리 나이테는 잘 보이지 않고 찬란한 빛에 눈이 멀어 꺼져가는데 그래 그때 나는 잘 몰랐었어 우린 다른 점만 닮았고 철이 들어 먼저 떨어져 버린 너와 이젠 나도 닮았네 젊은 우리 나이테는 잘 보이지 않고 찬란한 빛에 눈이 멀어 꺼져가는데 아아아아아 아아아아아 아아아아아아아 아아아아아 아아아아아 아아아아아아아아아
2017	남이 될 수 있을까	인디음악	쉴 새 없이 울려 대던 내 전화기는 잠잠해져 가 할 말을 잃은 것 같아 정신없이 쏟아내던 그 모진 말들 주워 담지는 못해 아마 날 떠날 것 같아 난 너를 지울 수 있을까 그저 한 순간에 우린 남이 될 수 있을까 쉽지 않을 걸 알지만 좋았던 날도 많았지만 되돌리기엔 멀리 와 버린 걸까 난 너를 지울 수 있을까 우린 남이 될 수 있을까 눈물조차 흐르지 않아 홧김에 던져 망가진 내 폰 마치 날 보는 것 같아 예전과 달리 잦아진 끝이 없는 듯한 감정싸움에 이제 난 지친 것 같아 난 너를 지울 수 있을까 그저 한 순간에 우린 남이 될 수 있을까 쉽지 않을 걸 알지만 좋았던 날도 많았겠지만 되돌리기엔 멀리 와 버린 걸까 괜찮은 척해도 먹먹해진 기분은 진해져만 가 떨쳐내려 괜히 웃어보아도 숨길 수 없는 걸 이별이 오는 걸 우리의 시간은 멈춰버린걸 난 너를 지울 수 있을까 우린 남이 될 수 있을까 난 너를 지울 수 있을까 그저 한 순간에 우린 남이 될 수 있을까 쉽지 않을 걸 알지만 좋았던 날도 많았지만 되돌리기엔 멀리 와 버린 걸까 난 너를 지울 수 있을까 우린 남이 될 수 있을까 We loved We loved We loved We loved We loved We loved
