년도	제목	장르	가사
2011	그대는 철이 없네 (Feat. 김지수)	포크/블루스	마주본 식탁에 성의 없는 젓가락질 시간이 지루하네 느리게 흘러가네 마주본 그대의 성의 없는 반찬을 보면 그대는 철이 없네 우리 둘 변해가네 열두시가 지나가면 또 멀어져가 할 말이 있다면 제대로 말해줘 내 앞에서 철수 그대가 주었던 환상 이젠 모두 사라지네 영희 너에게 걸었던 기대 이젠 모두 멀어지네 멀어져 가는데 내 맘은 어디로 마주본 눈빛에 애정이 보이지 않아 그대는 철이 없네 추억도 변해가네 그대는 몰라 내 맘을 몰라 넋이 나가 밥만 먹어대는 내 맘을 몰라 그댄 정말 몰라 내 맘을 몰라 넋이 나가 밥만 먹어대는 내 맘을 몰라 열두시가 지나가면 또 멀어져가 할 말이 있다면 제대로 말해줘 덤비진 마 철수 그대가 주었던 환상 이젠 모두 사라지네 영희 너에게 걸었던 기대 이젠 모두 멀어지네 멀어져가 오 철없는 그대가 보았던 유리구둔 이제 사라지네 영원할 우리가 걸었던 마법 이젠 모두 없어지네 없어져 가는데 내 맘은 어데로 영원할 우리가 변해온 모습을 보면 사랑은 참 알 수 없네 아직도 고개를 저어 밥맛이 좋지 않아 숟가락을 내려놓네
2011	장난감 병정들	포크/블루스	맞춰진 리듬아래 의미 없는 북장단과 감정 없는 표정 위로 군무를 맞추는 그대 군중의 환호성과 군무의 화려함 뒤 보이는 것만 원하는 네 입맛에 맞춰 춤춘다 장난감 병정들 군무를 맞추네 장난감 병정들 군무를 맞추네 시선을 견뎌봐 군무를 맞추는 그대 가리킨 손가락에 엉뚱한 곳을 보네 갈 곳이 어디였는지 발을 뗄 수가 없네 가만히 휩쓸려가 발을 멈추는 순간 리듬은 사라지고 모두의 얼굴이 널 향하지 시선을 견뎌봐 장난감 병정들 군무를 맞추네 hurry up 장난감 병정들 군무를 맞추네 시선을 견뎌봐 군무를 맞추는 그대 장난감 병정들 군무를 맞추네 춤추는 그대 시선을 견뎌봐 군무를 맞추는 그대 장난감 병정들 군무를 맞추네
2012	내 사랑아	포크/블루스	창밖에 비가 내리면 감춰둔 기억이 내 맘을 적시고 잊은 줄 알았던 사람 오히려 선명히 또 다시 떠올라 내 사랑아 사랑아 그리운 나의 사랑아 목놓아 불러보지만 듣지도 못하는 사랑 내 사랑아 사랑아 보고픈 나의 사랑아 그대 이름만으로도 베인 듯 아픈 사랑아 내 사랑아 창가에 어둠이 오면 숨겨 논 추억이 내 맘을 밝히네 내 사랑아 사랑아 그리운 나의 사랑아 목놓아 불러보지만 듣지도 못하는 사랑 내 사랑아 사랑아 보고픈 나의 사랑아 그대 이름만으로도 베인 듯 아픈 사랑아 내 사랑아 우리 함께 웃음 지었던 순간 우리 함께 눈물 흘렸던 순간 이제 그만 보내지만 내 사랑아 사랑아 고마운 나의 사랑아 내 전부 다 지운대도 가슴에 남겨질 사랑 내 사랑아 사랑아 소중한 나의 사랑아 내 숨이 다 할 때까지 간직할 나의 사랑아 내 사랑아
2016	봄이 좋냐??	포크/블루스	꽃이 언제 피는지 그딴 게 뭐가 중요한데 날씨가 언제 풀리는지 그딴 거 알면 뭐 할 건데 추울 땐 춥다고 붙어있고 더우면 덥다고 니네 진짜 이상해 너의 달콤한 남친은 사실 피씨방을 더 가고 싶어하지 겁나 피곤하대 봄이 그렇게도 좋냐 멍청이들아 벚꽃이 그렇게도 예쁘디 바보들아 결국 꽃잎은 떨어지지 니네도 떨어져라 몽땅 망해라 망해라 아무 문제 없는데 왜 나는 안 생기는 건데 날씨도 완전 풀렸는데 감기는 왜 또 걸리는데 추울 땐 추워서 안생기고 더우면 더워서 인생은 불공평해 너의 완벽한 연애는 아직 웃고 있지만 너도 차일거야 겁나 지독하게 봄이 그렇게도 좋냐 멍청이들아 벚꽃이 그렇게도 예쁘디 바보들아 결국 꽃잎은 떨어지지 니네도 떨어져라 몽땅 손 잡지 마 팔짱 끼지 마 끌어 안지 마 제발 아무것도 하지 좀 마 설레지 마 심쿵하지 마 행복하지 마 내 눈에 띄지 마 봄이 그렇게도 좋냐 멍청이들아 벚꽃이 그렇게도 예쁘디 바보들아 결국 꽃잎은 떨어지지 니네도 떨어져라 몽땅 망해라 망해라 망해라 망해라
2016	심술	포크/블루스	노란 머리 볼에 빨간 홍조 빼빼 묶은 머리 but a girl with bobbed hair 나 신발 꺾어 신고 돌아다녀 Cuz I'm lonely 내가 좋아하는 건 제일 잘하는 건 물어뜯기 꼬집기 깨물기 and 몰래 따라 걷기 with red sunglass Hey Miss short skirt lady 손때 묻은 손수건은 좀 떼줄래 Hey 뭐야 긴 생머리 언니 헐 아이 컨택은 그만 부리고 그 손 떼 헝클어진 머리칼을 흩날리며 네게 건네 조금은 녹아 흘러내린 아이스크림 좀 따가운 시선 받으면 어때 네게 주려고 진득해진 손바닥으로 달려온 나야 너 진짜 귀여워 진짜 잘생겼어 그러니까 여자들이 자꾸 들러붙어 이거 뭐예요 저거 뭐예요 Or you have a girl friend Hey Miss short skirt lady 손때 묻은 손수건은 좀 떼줄래 Hey 뭐야 긴 생머리 언니 헐 아이 컨택은 그만 부리고 그 손 떼 U know what I’m saying 헝클어진 머리칼을 흩날리며 네게 건네 조금은 녹아 흘러내린 아이스크림 좀 따가운 시선 받으면 어때 네게 줄려고 진득해진 손바닥으로 달려 온 나야 Woo Yeah 진짜 얄미운 너 yeah 나는 싫어 네가 볼 꼬집는 거 빨갛게 익은 내 맘 놀리는 것도 싫어 이렇게 심술 부리는 거야
2016	RE-BYE	포크/블루스	Re-e-e bye 미련 없이 손을 흔들어 Re-bye Re-e-e bye 그땐 그때 이땐 이때 Re-bye 익숙해 날 오고 가는 발걸음 헤어지는 인사에 미숙해 보이는 것만큼 부끄러운 게 없는 걸 익숙해 날 보고 가는 시선들 주위 모든 여자 날 야속해 해 But It's OK 부끄러울 게 없는 걸 Oh 눈물로 보낼 필요 없어 자욱한 안개만 남을 뿐 눈물로 흘려보낸 시간이 녹아 남은 건 어디에 Re-e-e bye 미련 없이 손을 흔들어 Re-bye Re-e-e bye 그땐 그때 이땐 이때 Re-bye 뒤돌아서면 그걸로 THE END Re-bye 익숙해 날 오고 가는 발걸음 헤어지는 인사에 미숙해 보이는 것만큼 부끄러운 게 없는 걸 보기 드물어진 정 찾기 힘들어 진정한 partner 놔둬 봐 진정이 안 돼 이미 상한 빈정 많이 나누는 사람이 바보라 불리는 시대를 보시게 두 손에 남은 것 손해만 흥건히 남길 바에 인사는 간단하게 간당간당하게 맘에 문은 깐깐하게 방이 좀 깜깜하네 속을 들키면 Game over 할 수 없이 널 속여 여기까지가 납니다 수상해 냄새가 납니다 Oh 눈물로 보낼 필요 없어 자욱한 안개만 남을 뿐 눈물로 흘려보낸 시간이 녹아 남은 건 어디에 Re-e-e bye 미련 없이 손을 흔들어 Re-bye Re-e-e bye 그땐 그때 이땐 이때 Re-bye 뒤돌아서면 그걸로 THE END Re-bye
2016	새삼스럽게 왜	포크/블루스	Haughty girl 너는 어려워 도도해서 그런가 봐 Unfriendly girl 우린 그냥 인사만 주고받는 사이 근데 그 사이에 사랑이 오갔나 우린 꽤 오래 계속 그냥 알고만 지냈던 사이 딱 그 정도 한 번도 진심 어린 말 없었던 거야 넌 눈치가 없는건지 백 번의 눈짓에도 고개 한 번 끄덕하지 않았는데 Nod for me 새삼스럽게 왜 그러는 거야 안 하던 농담도 하고 오늘 좋은 일 있었나 봐 새삼스럽게 이러지 마세요 내가 내가 오해할까 봐 그래 오해할까 봐 신비한 걸 널 모르겠어 네 눈빛을 보면 기분이 묘해지면서 멍 멍 때리게 돼 신기한 걸 우리 그냥 인사만 주고받았는데 그새 사랑이 오갔나 기대하지 않고 있을게 아주 작게 달라진 너의 행동에도 오만가지 생각이 다 드는 걸 알 수만 있다면 정말 이게 사랑인 걸까 새삼스럽게 왜 그러는거야 안 하던 농담도 하고 오늘 좋은 일 있었나 봐 새삼스럽게 이러지 마세요 내가 내가 오해할까 봐 그래 내가 좋다면 좋다고 아니라면 아니라고 해 사람 헷갈리게 하지 마 이 바보야 좋다면 좋다고 아니라면 아니라고 해 하라고 이 바보야 사귈건지 말건지 툭툭 던지지 말고 표현 좀 하라고 이 내가 오해하는 것 같잖아
2016	사소한 것에서	포크/블루스	잠은 꽤나 잔 것 같은데 또 나오는 하품 저 멀리 나뒹구는 베개와 침대 밑 이불이 내 작품 큰 입 덥석 물리곤 나올 줄 모르는 칫솔과 한 잎만 떨어져도 금방 티나는 앙상한 화초 정말 아름다운 건 내가 선 곳에 있는데 미처 발견 못 하고 지나치는 사람들 다소 식상해 보였던 것 안에 혹은 당연한 일상을 돌아본다면 마치 한 잔의 쉐이크처럼 잊은 듯 아무렇지 않은 척해도 쓰린 사랑의 아픔 아무 이유 없이 반항하곤 했던 사춘기의 질풍 큰 잎이 떨어지면 고개를 내밀던 가을과 한 닢의 동전도 소중했던 어린 시절 나의 친구들과의 추억 정말 아름다운 건 내가 선 곳에 있는데 미처 발견 못 하고 지나치는 사람들 다소 식상해 보였던 것 안에 혹은 당연한 일상을 돌아본다면 마치 한 잔의 쉐이크처럼 shake it shake it oh shake it shake it shake it shake it shake it oh like glass of shake it shake it shake it shake it oh shake it shake it shake it shake it shake it oh like glass of shake it shake it 쉴 틈 없는 달리기에 못 보고 간 꽃들 빈틈없는 지하철에서 옮아 온 고뿔 어쩌면 이런 사소한 것에서 세상이 달라지는지도 몰라
2016	여름밤에 우린	포크/블루스	You will always be my girl I promise you I will be on your side 움직이지 말아줘 눈에 담고 있으니까 작은 표정 하나하나 맘에 담고 싶으니까 꿈을 꾸는듯한 눈부신 오늘 밤 별빛이 가득한 너의 눈을 본 순간 난 알아버렸지 지금 우리 사이 세상에서 가장 특별해 baby 별이 가득한 여름밤에 우린 눈부시게 아름다운 그림 모든 게 다 바래고 지워져도 간직하고 있을게 내 눈을 보면서 너는 어떤 생각해 나는 너를 보면서 또 너를 생각해 넌 알 수 있겠니 지금 우리 사이 세상에서 가장 특별해 baby 별이 가득한 여름밤에 우린 눈부시게 아름다운 그림 모든 게 다 바래고 지워져도 간직하고 있을게 baby 누가 뭐래도 영원토록 우린 이 세상에 하나뿐인 그림 모든 게 다 바래고 지워져도 간직하고 있을게 간직하고 있을게
2016	우주를 줄게	포크/블루스	커피를 너무 많이 마셨나 봐요 심장이 막 두근대고 잠은 잘 수가 없어요 한참 뒤에 별빛이 내리면 난 다시 잠들 순 없겠죠 지나간 새벽을 다 새면 다시 네 곁에 잠들겠죠 너의 품에 잠든 난 마치 천사가 된 것만 같아요 난 그대 품에 별빛을 쏟아 내리고 은하수를 만들어 어디든 날아가게 할거야 Cause I’m a pilot anywhere Cause I’m a pilot anywhere lighting star shooting star 줄게 내 Galaxy Cause I’m a pilot anywhere Cause I’m your pilot 네 곁에 저 별을 따 네게만 줄게 my Galaxy Like a star 내리는 비처럼 반짝이는 널 가지고 싶어 Get ma mind 엄지와 검지만 해도 내 마음을 너무 잘 표현해 붙어 안달 나니까 마냥 떨리기만 한 게 아냐 준비가 되면 쏘아 올린 인공위성처럼 네 주윌 마구 맴돌려 해 더 가까워진다면 네가 가져줄래 이 떨림을 어제는 내가 기분이 참 좋아서 지나간 행성에다가 그대 이름 새겨 놓았죠 한참 뒤에 별빛이 내리면 그 별이 가장 밝게 빛나요 지나간 새벽을 다 새면 다시 네 곁에 잠들겠죠 별빛 아래 잠든 난 마치 온 우주를 가진 것만 같아 난 그대 품에 별빛을 쏟아 내리고 은하수를 만들어 어디든 날아가게 할거야 Cause I’m a pilot anywhere Cause I’m a pilot anywhere Lighting star Shooting star 줄게 내 Galaxy Cause I’m a pilot anywhere Cause I’m your pilot 네 곁에 저 별을 따 네게만 줄게 my Galaxy Cause I’m a pilot anywhere Cause I’m a pilot anywhere Lighting star Shooting star 줄게 내 Galaxy Cause I’m a pilot I’m your pilot Lighting star Shooting star 줄게 my Galaxy la la la la la la la la la la la la
